307
t_index	tf-idf
1	0.05509756298661749
15	0.06876223711397889
16	0.014819642735049682
44	0.030720358629913815
82	0.0456974505965661
164	0.051274996443187615
178	0.027548781493308746
179	0.029209209802203272
180	0.028983461303014806
181	0.026999704490475555
183	0.02876342857421563
184	0.02021209319429013
185	0.02454396338093896
189	0.03177411501980075
190	0.015887057509900375
237	0.051274996443187615
240	0.0215247581776767
277	0.05080624401525216
304	0.025239600831100963
313	0.051274996443187615
319	0.055761153132209355
345	0.051274996443187615
355	0.05080624401525216
393	0.0705242084876509
406	0.04275077755503819
431	0.051274996443187615
639	0.01921557751546892
764	0.015887057509900375
875	0.04463075661238828
983	0.012363229766785704
1006	0.04249176827402551
1100	0.018256561468281158
1157	0.01490742962857348
1235	0.1176760001978464
1272	0.04081147520547972
1273	0.0162913549905621
1301	0.027524990833414382
1309	0.0745752949247301
1351	0.030978653417945545
1460	0.03728764746236505
1465	0.06821821577575077
1466	0.03070273092377411
1488	0.01687988203191789
1511	0.02291488228991841
1565	0.029209209802203272
1627	0.05472374950135684
1665	0.028134902102816495
1840	0.01981518273367677
1894	0.0215247581776767
1905	0.023416955650055672
2069	0.013300874239536338
2114	0.4828136436612902
2233	0.017511176723937233
2260	0.03570312206880885
2268	0.04081147520547972
2269	0.07751761814792645
2270	0.04275077755503819
2278	0.04081147520547972
2389	0.02992392701538238
2461	0.032848149540289195
2487	0.03357280480894078
2532	0.036726754239406155
2588	0.030435299713681835
2615	0.024595276592947777
2616	0.10710936620642655
2762	0.01838725308241775
2892	0.05199160358321197
2917	0.024815573878711507
2918	0.015040795343827679
3016	0.02021209319429013
3162	0.083219389210855
3181	0.016395438013794766
3231	0.025995801791605985
3233	0.04877480087067024
3241	0.019071924185933946
3432	0.018587051044069783
3438	0.04026249538886019
3495	0.02307157926669916
3651	0.019971778475973943
3671	0.05472374950135684
3718	0.034363424937458226
3735	0.026317721133559922
3741	0.028339401621826184
3808	0.031191435080800186
3813	0.04525097312755556
3965	0.04525097312755556
4057	0.034363424937458226
4062	0.026155271010062143
4087	0.02330029848154249
4130	0.01082822489788895
4134	0.022110878787184454
4135	0.08264634447992623
4136	0.019971778475973943
4138	0.02143080235919883
4260	0.015360179314956908
4330	0.04614315853339832
4334	0.031263624146733004
4415	0.02295943798738276
4426	0.01477607959339307
4457	0.0707820956078378
4472	0.04091200628347355
4532	0.028134902102816495
4596	0.07345350847881231
4638	0.026999704490475555
4644	0.012040113423443792
4695	0.023776627468797124
4765	0.02181287832797486
4783	0.023416955650055672
4798	0.051068466809512866
4949	0.01895342309282523
4953	0.029209209802203272
4960	0.036726754239406155
4985	0.018191945344871622
5003	0.051274996443187615
5012	0.12140292391956602
5041	0.02097568117484351
5216	0.03279087602758953
5227	0.04877480087067024
5239	0.07004470689574893
5330	0.04081147520547972
5415	0.02793510414116446
5436	0.4282324396710569
5450	0.0771532181549332
5480	0.04525097312755556
5484	0.010664242135543416
5673	0.027739796403618337
6033	0.04391127599620494
