t_index	term	df
3344	descript	8
3345	desegreg	1
3346	desert	35
3347	deserv	15
3348	deservedli	2
3349	design	38
3350	designe	1
3351	desir	16
3352	desist	3
3353	desk	6
3354	desol	1
3355	despair	6
3356	desper	39
3357	despic	12
3358	despis	3
3359	despit	116
3360	despot	1
3361	destabil	3
3362	destin	10
3363	destini	1
3364	destitut	1
3365	destroy	227
3366	destruct	27
3367	desvid	1
3368	detach	3
3369	detail	89
3370	detain	31
3371	detaine	2
3372	detect	14
3373	detector	1
3374	detent	10
3375	deter	15
3376	deterg	1
3377	deterior	11
3378	determin	104
3379	deterr	2
3380	detest	1
3381	deton	30
3382	detour	4
3383	detritu	1
3384	detroit	3
3385	deuc	12
3386	deutch	8
3387	deutsch	1
3388	devast	58
3389	devastatingli	1
3390	develop	97
3391	deviat	1
3392	devic	15
3393	devilish	1
3394	devis	1
3395	devot	15
3396	devour	2
3397	devoutli	1
3398	dewat	2
3399	dewin	2
3400	dhabi	4
3401	dhahran	12
3402	dharan	1
3403	dhingra	1
3404	dhrumal	1
3405	diabak	1
3406	diagnos	5
3407	diagnosi	1
3408	diagnost	1
3409	diagnostico	1
3410	diagram	1
3411	dialect	1
3412	diallo	2
3413	dialo	3
3414	dialogu	8
3415	diamet	3
3416	diamond	3
3417	dian	2
3418	diann	3
3419	diari	1
3420	diarrhea	3
3421	diaz	2
3422	dick	36
3423	dickinson	1
3424	dictablanda	1
3425	dictadura	1
3426	dictat	29
3427	dictatori	3
3428	dictatorship	10
3429	diction	4
3430	dictionari	1
3431	dictment	1
3432	didn	128
3433	die	192
3434	diego	5
3435	dienstbier	2
3436	diesel	2
3437	diet	3
3438	differ	107
3439	difficult	84
3440	difficulti	21
3441	diffus	1
3442	dig	49
3443	digest	1
3444	digger	3
3445	digit	4
3446	dignitari	5
3447	digniti	8
3448	dilapid	1
3449	dilemma	4
3450	dilfer	1
3451	dilig	1
3452	dilut	1
3453	dime	1
3454	dimens	2
3455	diminish	5
3456	diminut	1
3457	dimitr	1
3458	dimitri	2
3459	dimmer	1
3460	dina	1
3461	dinar	2
3462	dine	8
3463	dinghi	4
3464	dingi	1
3465	dinh	2
3466	dinkic	3
3467	dinner	10
3468	dioulo	1
3469	dip	2
3470	diplomaci	8
3471	diplomat	69
3472	diplospeak	4
3473	dire	1
3474	direct	75
3475	directli	40
3476	director	102
3477	directrelief	1
3478	diring	1
3479	dirksen	1
3480	dirt	35
3481	dirti	11
3482	dirtiest	1
3483	disabl	4
3484	disadvantag	1
3485	disaffect	1
3486	disagr	3
3487	disagre	8
3488	disappear	24
3489	disappoint	25
3490	disapprov	1
3491	disarm	1
3492	disarma	1
3493	disarray	2
3494	disassembl	1
3495	disast	76
3496	disastr	8
3497	disband	6
3498	disbar	4
3499	disbelief	5
3500	disc	1
3501	discard	2
3502	discharg	3
3503	disciplin	13
3504	disciplinari	6
3505	disclos	12
3506	disclosur	7
3507	discomfort	4
3508	discont	2
3509	discontinu	1
3510	discord	2
3511	discothequ	1
3512	discount	1
3513	discourag	7
3514	discov	37
3515	discoveri	12
3516	discovi	1
3517	discredit	10
3518	discreet	1
3519	discrep	4
3520	discret	4
3521	discrimin	2
3522	discuss	75
3523	disdain	4
3524	diseas	9
3525	disenfranchis	3
3526	disgaz	1
3527	disgrac	12
3528	disgruntl	5
3529	disguis	9
3530	disgust	1
3531	dish	1
3532	dishdasha	1
3533	dishearten	2
3534	dishonor	2
3535	disillus	2
3536	disinfect	5
3537	disinform	1
3538	disintegr	10
3539	dislik	1
3540	disloc	2
3541	dislodg	2
3542	dismal	1
3543	dismantl	8
3544	dismay	3
3545	dismemb	1
3546	dismiss	32
3547	disobedi	14
3548	disord	3
3549	disori	2
3550	dispar	4
3551	disparag	2
3552	dispatch	31
3553	dispel	2
3554	dispens	1
3555	dispers	13
3556	displac	2
3557	display	29
3558	displeas	1
3559	displeasur	1
3560	dispos	12
3561	disposit	1
3562	disprov	2
3563	disput	33
3564	disqualifi	6
3565	disquiet	1
3566	disregard	5
3567	disreput	1
3568	disrespect	2
3569	disrupt	9
3570	dissect	1
3571	dissemin	4
3572	dissent	5
3573	dissid	6
3574	dissip	1
3575	dissolv	12
3576	dissuas	1
3577	distanc	16
3578	distant	7
3579	distinct	7
3580	distinctli	1
3581	distinguish	7
3582	distort	6
3583	distract	8
3584	distraught	13
3585	distress	4
3586	distribut	26
3587	district	38
3588	distrust	1
3589	disturb	9
3590	disun	2
3591	ditch	5
3592	dive	21
3593	diver	67
3594	divers	8
3595	diversifi	1
3596	divert	8
3597	divid	33
3598	divis	26
3599	divorc	3
3600	divulg	4
3601	dixon	3
3602	dixvil	1
3603	dizzi	2
3604	djahouri	1
3605	djibouti	20
3606	djikal	1
3607	djila	1
3608	djindjic	17
3609	djukanov	3
3610	djuro	1
3611	dmitri	12
3612	dmon	1
3613	dna	5
3614	dnevnik	1
3615	do	1
3616	doan	1
3617	dobrica	1
3618	dochterman	1
3619	dock	42
3620	docksid	2
3621	doctor	52
3622	doctorswithoutbord	1
3623	doctrin	1
3624	document	44
3625	documentari	1
3626	dodg	1
3627	dodgi	3
3628	doer	1
3629	dog	32
3630	dogged	1
3631	doggedli	1
3632	doha	1
3633	dokic	9
3634	doll	1
3635	dollar	47
3636	dolphin	1
3637	domain	1
3638	dome	2
3639	domest	16
3640	domin	42
3641	dominican	1
3642	dominik	16
3643	dominikov	4
3644	dominion	2
3645	dominiqu	1
3646	domino	3
3647	don	2
3648	donald	35
3649	donaldson	2
3650	donat	19
3651	done	109
3652	dong	1
3653	donkey	1
3654	donna	2
3655	donnel	3
3656	donor	11
3657	dooda	1
3658	doom	9
3659	door	55
3660	doorway	2
3661	dopher	1
3662	dora	1
3663	dorcol	1
3664	doreen	1
3665	dori	1
3666	dormitori	1
3667	dorothi	3
3668	dose	1
3669	dostoyevski	1
3670	dot	3
3671	doubl	46
3672	doubt	52
3673	doudou	1
3674	doug	1
3675	dougal	9
3676	dougherti	2
3677	dougla	1
3678	dour	2
3679	dove	1
3680	dover	24
3681	dow	2
3682	down	4
3683	downbeat	1
3684	downfal	19
3685	downplay	3
3686	downpour	1
3687	downstair	2
3688	downtown	29
3689	dows	1
3690	doyal	1
3691	doze	1
3692	dozen	114
3693	dozo	1
3694	dpko	1
3695	dpmo	2
3696	dr	8
3697	draconian	2
3698	draft	16
3699	drag	15
3700	dragan	6
3701	dragana	1
3702	dragesa	1
3703	dragisha	1
3704	dragoljub	8
3705	dragomir	2
3706	dragon	2
3707	drain	8
3708	drama	13
3709	draman	15
3710	dramat	33
3711	drape	18
3712	draper	2
3713	draskov	4
3714	drastic	1
3715	draw	48
3716	drawn	17
3717	dread	1
3718	dream	20
3719	dress	24
3720	dresser	1
3721	drew	23
3722	drexel	1
3723	dri	17
3724	drift	3
3725	drill	8
3726	drink	13
3727	drip	1
3728	drissa	3
3729	drive	65
3730	driven	17
3731	driver	24
3732	driveway	1
3733	drizzl	1
3734	drizzli	1
3735	drop	52
3736	drought	2
3737	drove	22
3738	drown	6
3739	drub	1
3740	drudg	1
3741	drug	41
3742	drugli	1
3743	drum	1
3744	drumbeat	2
3745	drummer	2
3746	drunk	3
3747	drunken	1
3748	drydock	1
3749	dtic	2
3750	du	1
3751	dual	1
3752	duan	1
3753	dub	3
3754	dubai	5
3755	dubiou	1
3756	duboc	1
3757	duc	7
3758	duck	4
3759	duct	6
3760	dudley	12
3761	due	38
3762	duel	3
3763	duffel	2
3764	duffi	4
3765	duffl	1
3766	dug	22
3767	duglon	1
3768	duguid	2
3769	duke	1
3770	dull	1
3771	duluth	1
3772	duma	1
3773	dump	12
3774	duo	1
3775	duopoli	1
3776	dupe	1
3777	duplic	1
3778	durango	2
3779	duress	1
3780	dusan	1
3781	dusk	2
3782	dust	13
3783	dusti	11
3784	dutch	3
3785	duti	27
3786	duval	1
3787	dwarf	1
3788	dwell	2
3789	dweller	3
3790	dwight	2
3791	dwindl	11
3792	dwyer	1
3793	dy	5
3794	dye	2
3795	dygalo	2
3796	dynam	4
3797	dynamit	8
3798	dynasti	1
3799	dysfunct	1
3800	e	16
3801	eager	18
3802	eagl	1
3803	eagleton	1
3804	eaker	1
3805	eant	1
3806	ear	7
3807	eardrum	2
3808	earli	181
3809	earlier	188
3810	earliest	7
3811	earmark	8
3812	earn	23
3813	earnest	5
3814	earshot	1
3815	earth	29
3816	earthmov	3
3817	earthquak	111
3818	eas	27
3819	easi	34
3820	easier	12
3821	easiest	2
3822	easili	25
3823	easley	1
3824	east	128
3825	eastern	40
3826	eat	15
3827	eaten	3
3828	eavesdrop	1
3829	eb	3
3830	ebb	5
3831	ebri	1
3832	eccel	1
3833	echeverria	1
3834	echo	28
3835	eclips	2
3836	ecolog	1
3837	ecologist	1
3838	econolin	1
3839	econom	83
3840	economi	73
3841	economist	12
3842	ecstat	1
3843	ecuador	10
3844	ecuadorian	1
3845	ed	12
3846	edberg	1
3847	edg	49
3848	edgar	1
3849	edict	1
3850	edific	1
3851	edikipa	1
3852	edinburgh	1
3853	edit	16
3854	editor	16
3855	editori	16
3856	edmond	32
3857	edmund	25
3858	edmundo	1
3859	edt	13
3860	eduard	1
3861	eduardo	1
3862	educ	40
3863	edward	6
3864	edwardo	1
3865	edwin	2
3866	ee	3
3867	eeri	2
3868	eerili	1
3869	effect	76
3870	effici	4
3871	effort	185
3872	effortlessli	1
3873	eg	1
3874	egg	5
3875	egoavil	3
3876	egotist	2
3877	egregi	1
3878	egypt	26
3879	egyptian	31
3880	ehud	8
3881	eight	113
3882	eighteen	1
3883	eighth	22
3884	eighti	5
3885	eisenhow	3
3886	either	60
3887	eject	2
3888	ekra	1
3889	el	74
3890	elabor	24
3891	elana	1
3892	elast	1
3893	elat	1
3894	elayn	1
3895	elbaum	1
3896	elbow	7
3897	elder	6
3898	elderli	5
3899	eldest	3
3900	elect	312
3901	elector	80
3902	electr	42
3903	electrician	3
3904	electrifi	1
3905	electrocut	1
3906	electron	11
3907	eleg	5
3908	element	21
3909	elementari	2
3910	elena	6
3911	elev	4
3912	eleven	12
3913	elia	4
3914	eliac	1
3915	elier	1
3916	elig	10
3917	elimin	32
3918	elit	7
3919	elizabeth	7
3920	ellen	5
3921	elli	2
3922	elliot	2
3923	ellips	2
3924	ellipt	1
3925	ellwood	1
3926	eln	1
3927	elong	1
3928	els	34
3929	elsewher	55
3930	elton	1
3931	elud	12
3932	elus	4
3933	em	2
3934	eman	1
3935	emanuel	1
3936	embargo	31
3937	embark	4
3938	embarrass	10
3939	embassi	118
3940	embattl	9
3941	embed	1
3942	embellish	1
3943	emblemat	1
3944	embrac	20
3945	embroil	1
3946	emerg	111
3947	emerson	2
3948	emigr	7
3949	emil	5
3950	emili	2
3951	emilio	2
3952	emin	2
3953	emir	7
3954	emiss	1
3955	emissari	1
3956	emit	1
3957	emkne	1
3958	emmanuel	3
3959	emot	47
3960	empathet	1
3961	empathi	1
3962	emperor	4
3963	emphas	9
3964	emphasi	7
3965	emphat	5
3966	empir	6
3967	employ	19
3968	employe	50
3969	empow	2
3970	empt	1
3971	empti	14
3972	emul	3
3973	en	32
3974	enabl	10
3975	enact	4
3976	encircl	1
3977	enclos	1
3978	encor	1
3979	encount	15
3980	encourag	33
3981	end	277
3982	endang	5
3983	endear	1
3984	endeavor	3
3985	endem	1
3986	endors	12
3987	endur	18
3988	enemi	46
3989	energ	3
3990	energet	1
3991	energi	29
3992	enforc	46
3993	engag	25
3994	engend	2
3995	engin	54
3996	engineerman	1
3997	engineman	1
3998	england	2
3999	english	18
4000	engrav	1
4001	engulf	7
4002	enhanc	5
4003	enigmat	1
4004	enjoin	1
4005	enjoy	19
4006	enlarg	4
4007	enlist	14
4008	enmesh	1
4009	enmiti	2
4010	enorm	27
4011	enough	136
4012	enqvist	1
4013	enrag	2
4014	enrich	1
4015	ensembl	2
4016	ensign	4
4017	ensnar	2
4018	ensu	9
4019	ensul	1
4020	ensur	34
4021	entail	1
4022	entangl	2
4023	enter	67
4024	enterpris	4
4025	entertain	5
4026	enthusiasm	8
4027	enthusiast	7
4028	entic	4
4029	entir	44
4030	entireti	1
4031	entiti	2
4032	entitl	6
4033	entomb	4
4034	entourag	3
4035	entranc	7
4036	entrench	2
4037	entrepreneur	2
4038	entrepreneuri	2
4039	entrepreneurship	5
4040	entri	3
4041	entrust	2
4042	envelop	1
4043	envi	1
4044	environ	8
4045	environment	11
4046	environmentalist	3
4047	envis	2
4048	envisag	1
4049	envoy	7
4050	epa	1
4051	epic	2
4052	epicent	31
4053	epidem	2
4054	epiphani	1
4055	episcop	3
4056	episod	2
4057	equal	20
4058	equanim	1
4059	equip	89
4060	equival	12
4061	er	2
4062	era	53
4063	eras	11
4064	erect	7
4065	erena	1
4066	eri	3
4067	eric	6
4068	erinson	1
4069	erlang	1
4070	ernesto	4
4071	erni	4
4072	erod	9
4073	eros	4
4074	err	1
4075	errand	1
4076	errat	8
4077	erron	3
4078	error	47
4079	erupt	18
4080	es	5
4081	esam	1
4082	escal	9
4083	escap	85
4084	escape	28
4085	escort	10
4086	escud	3
4087	especi	74
4088	espehello	1
4089	espi	6
4090	espionag	34
4091	espitia	1
4092	espo	1
4093	espous	1
4094	essay	3
4095	essenc	3
4096	essenti	16
4097	est	1
4098	establish	51
4099	estat	18
4100	estim	63
4101	estrada	1
4102	estrang	1
4103	et	3
4104	etar	1
4105	etat	7
4106	etcetera	1
4107	ethan	2
4108	ethic	7
4109	ethiopia	1
4110	ethnic	34
4111	ethnocentr	2
4112	etoge	1
4113	eu	8
4114	eucom	1
4115	eugen	4
4116	eulog	3
4117	euphor	1
4118	euphoria	6
4119	europ	50
4120	european	52
4121	evacu	24
4122	evad	7
4123	evalu	11
4124	evan	5
4125	evanel	1
4126	evapor	3
4127	evas	14
4128	eve	63
4129	evelyn	2
4130	even	314
4131	evenh	1
4132	evenhand	1
4133	evenli	5
4134	event	85
4135	eventu	45
4136	ever	109
4137	everett	1
4138	everi	92
4139	eversinc	1
4140	evert	11
4141	everybodi	20
4142	everyday	10
4143	everyon	57
4144	everyth	77
4145	everywher	18
4146	evi	4
4147	evict	2
4148	evid	131
4149	evidenc	1
4150	evil	2
4151	evoc	1
4152	evok	1
4153	evolut	3
4154	ewe	4
4155	ex	47
4156	exacerb	1
4157	exact	8
4158	exactli	37
4159	exagger	4
4160	exalt	1
4161	exam	4
4162	examin	49
4163	exampl	40
4164	exasper	2
4165	excav	12
4166	exceed	5
4167	exceedingli	1
4168	excel	5
4169	except	27
4170	excerpt	5
4171	excess	2
4172	exchang	23
4173	excit	9
4174	exclaim	1
4175	exclam	2
4176	exclud	20
4177	exclus	20
4178	exclusion	2
4179	exclusionari	1
4180	excruci	1
4181	excus	7
4182	execut	71
4183	exemplari	1
4184	exemplifi	1
4185	exempt	2
4186	exercis	22
4187	exhaust	26
4188	exhibit	3
4189	exhilar	1
4190	exhort	2
4191	exil	43
4192	exist	21
4193	exit	25
4194	exocet	1
4195	exodu	3
4196	exoner	1
4197	expand	18
4198	expans	5
4199	expatri	3
4200	expect	187
4201	expectantli	1
4202	expedi	2
4203	expedit	4
4204	expel	5
4205	expenditur	2
4206	expens	21
4207	experi	46
4208	experienc	8
4209	expert	118
4210	expertis	8
4211	expir	9
4212	explain	35
4213	explan	13
4214	explicit	4
4215	explicitli	6
4216	explod	43
4217	exploit	7
4218	explor	13
4219	explos	223
4220	export	22
4221	expos	8
4222	express	76
4223	expuls	1
4224	exquisit	1
4225	extend	38
4226	extens	34
4227	extent	27
4228	exterior	3
4229	extern	14
4230	extinct	2
4231	extinguish	2
4232	extol	2
4233	extort	4
4234	extra	21
4235	extract	6
4236	extradit	33
4237	extraordinari	12
4238	extraordinarili	2
4239	extravag	2
4240	extrem	21
4241	extremist	17
4242	extric	2
4243	exuber	1
4244	exud	1
4245	exult	1
4246	eyadema	1
4247	eyal	1
4248	eye	67
4249	eyebal	1
4250	eyelid	1
4251	eyesburn	1
4252	eyewit	10
4253	eyewitnesss	1
4254	f	26
4255	fa	3
4256	faa	1
4257	fabiani	1
4258	fabric	5
4259	facad	4
4260	face	186
4261	facial	1
4262	facil	45
4263	facilit	4
4264	fact	110
4265	factbook	4
4266	faction	13
4267	facto	2
4268	factor	23
4269	factori	20
4270	factual	1
4271	fade	24
4272	fadeyev	1
4273	fadhli	1
4274	fagan	1
4275	fahrenheit	1
4276	fail	115
4277	failur	16
4278	faint	6
4279	faintli	1
4280	fair	46
4281	fairfax	1
4282	fairleigh	1
4283	fairli	16
4284	faisal	1
4285	faith	9
4286	faithless	1
4287	fake	10
4288	fall	68
4289	fallen	27
4290	fallout	1
4291	faln	1
4292	fals	30
4293	falsif	1
4294	falsifi	5
4295	falter	4
4296	fame	6
4297	famer	1
4298	famili	213
4299	familiar	17
4300	famou	4
4301	fan	10
4302	fanci	1
4303	fanfar	2
4304	far	181
4305	faraway	3
4306	farc	2
4307	fare	1
4308	farera	1
4309	farewel	16
4310	farid	1
4311	farina	3
4312	farinella	1
4313	farm	9
4314	farmer	8
4315	farmington	1
4316	farrier	1
4317	farther	2
4318	farthest	2
4319	fascin	5
4320	fascist	3
4321	fashion	8
4322	faso	8
4323	fast	24
4324	faster	11
4325	fastest	2
4326	fat	2
4327	fatal	8
4328	fatalist	1
4329	fate	33
4330	father	76
4331	fatherless	1
4332	fatigu	7
4333	fatwa	1
4334	fault	29
4335	faulti	1
4336	favor	49
4337	favorit	14
4338	faw	1
4339	fax	14
4340	fay	1
4341	fayettevil	1
4342	fbi	113
4343	fda	1
4344	fear	110
4345	fearless	4
4346	feasibl	4
4347	feast	1
4348	feat	8
4349	featur	19
4350	feb	2
4351	februari	3
4352	fed	15
4353	feder	138
4354	federalist	1
4355	federico	11
4356	fee	5
4357	feed	14
4358	feel	118
4359	feet	62
4360	fehn	2
4361	feign	1
4362	feingold	1
4363	feinstein	3
4364	felix	9
4365	fell	66
4366	fellow	39
4367	felon	4
4368	feloni	13
4369	felt	81
4370	femal	13
4371	feminist	1
4372	fenc	6
4373	fend	2
4374	ferdinand	1
4375	ferment	1
4376	fernand	5
4377	fernandez	1
4378	fernando	5
4379	feroci	1
4380	ferraro	1
4381	ferreira	3
4382	ferrer	1
4383	ferrero	12
4384	ferret	2
4385	ferri	4
4386	fertil	3
4387	fervor	5
4388	fest	1
4389	festiv	8
4390	fetch	1
4391	fever	6
4392	feverish	1
4393	fewer	17
4394	fewest	1
4395	fh	1
4396	fhimah	1
4397	fiance	1
4398	fiberglass	9
4399	fiction	2
4400	fictiti	3
4401	fidel	5
4402	fidelia	2
4403	fidget	2
4404	fie	1
4405	fiefdom	2
4406	field	49
4407	fierc	16
4408	fieri	3
4409	fierrera	1
4410	fife	2
4411	fifteen	3
4412	fifteenth	1
4413	fifth	37
4414	fifti	2
4415	fight	77
4416	fighter	15
4417	figur	93
4418	fijimori	1
4419	file	40
4420	filipov	1
4421	fill	62
4422	fillmor	1
4423	film	8
4424	filter	1
4425	filth	1
4426	final	199
4427	finalist	5
4428	financ	41
4429	financi	63
4430	find	215
4431	fine	43
4432	finest	5
4433	finger	13
4434	fingerprint	5
4435	fingertip	1
4436	finish	59
4437	finit	2
4438	fink	3
4439	finland	2
4440	finsburi	1
4441	fir	4
4442	fire	130
4443	firearm	12
4444	firebal	1
4445	firebomb	1
4446	firecrack	2
4447	firefight	6
4448	fireman	4
4449	firepow	2
4450	firerescu	1
4451	fireston	1
4452	firestorm	1
4453	firework	5
4454	firm	32
4455	firmer	1
4456	firmli	11
4457	first	442
4458	firstli	1
4459	fiscal	3
4460	fischer	2
4461	fish	10
4462	fisheri	1
4463	fisherman	2
4464	fishermen	5
4465	fissur	1
4466	fist	21
4467	fit	27
4468	fitcher	1
4469	fitter	1
4470	fittingli	1
4471	fitzgerald	7
4472	five	227
4473	fix	16
4474	fizzl	1
4475	fl	1
4476	fla	17
4477	flabbergast	1
4478	flag	42
4479	flagrant	2
4480	flair	2
4481	flak	1
4482	flake	3
4483	flaku	3
4484	flame	9
4485	flank	6
4486	flare	3
4487	flash	3
4488	flashbulb	1
4489	flashlight	1
4490	flashpoint	3
4491	flat	13
4492	flatb	1
4493	flatli	1
4494	flatten	23
4495	flatter	1
4496	flatwar	1
4497	flaw	15
4498	flawless	2
4499	flawlessli	1
4500	flea	1
4501	fled	72
4502	fledg	1
4503	fledgl	2
4504	flee	36
4505	fleet	72
4506	fleischer	1
4507	flesh	2
4508	fletchal	1
4509	fletcher	4
4510	flew	33
4511	flex	1
4512	flexibl	2
4513	flfing	1
4514	fli	50
4515	flier	1
4516	flight	49
4517	flimsi	1
4518	fling	1
4519	flint	1
4520	flintoff	2
4521	flip	7
4522	float	15
4523	floater	1
4524	flood	38
4525	floodlight	1
4526	floodlit	2
4527	floor	38
4528	flop	4
4529	flore	15
4530	floresc	1
4531	florez	2
4532	florida	42
4533	florist	1
4534	floss	1
4535	flotilla	12
4536	flour	2
4537	flourish	3
4538	flow	10
4539	flower	8
4540	flown	44
4541	floyd	2
4542	fluctuat	1
4543	fluid	2
4544	flung	8
4545	fluorid	1
4546	flurri	4
4547	flush	1
4548	fluster	2
4549	fluti	1
4550	flux	1
4551	fm	1
4552	focu	44
4553	focus	45
4554	focuss	2
4555	foe	16
4556	fofana	2
4557	fog	11
4558	foggi	4
4559	foil	6
4560	fold	3
4561	foley	2
4562	folk	7
4563	folklor	1
4564	follow	216
4565	followup	1
4566	foment	3
4567	fond	2
4568	font	1
4569	food	61
4570	fool	2
4571	foolish	1
4572	foot	107
4573	footag	3
4574	footbal	10
4575	foothil	6
4576	foothold	6
4577	footnot	1
4578	footprint	1
4579	footstep	1
4580	footwear	1
4581	footwork	1
4582	forag	4
4583	foray	3
4584	forb	3
4585	forbid	1
4586	forbidden	2
4587	forc	366
4588	forcep	1
4589	forcibl	2
4590	ford	11
4591	fore	2
4592	forebod	1
4593	forecast	8
4594	foreclos	1
4595	forefront	2
4596	forehand	15
4597	forehead	2
4598	foreign	191
4599	foremost	3
4600	forens	21
4601	forerunn	2
4602	forese	3
4603	foreseen	1
4604	forest	9
4605	foretast	1
4606	forev	9
4607	foreword	1
4608	forg	4
4609	forgav	1
4610	forgeri	1
4611	forget	12
4612	forgiv	7
4613	forgiven	1
4614	forgot	1
4615	forgotten	5
4616	fork	2
4617	form	95
4618	formal	42
4619	format	9
4620	former	268
4621	formerli	9
4622	formid	4
4623	formul	1
4624	formula	3
4625	fornl	1
4626	forsak	1
4627	fort	13
4628	forth	5
4629	forti	5
4630	fortifi	2
4631	fortitud	1
4632	fortnight	1
4633	fortress	1
4634	fortun	16
4635	forum	15
4636	forward	57
4637	foster	4
4638	fought	48
4639	foul	1
4640	found	236
4641	foundat	8
4642	founder	10
4643	fountain	1
4644	four	273
4645	fourth	57
4646	fox	7
4647	foyer	2
4648	fpi	2
4649	fpt	1
4650	fr	1
4651	fraction	7
4652	fractiou	2
4653	fractur	9
4654	fragil	7
4655	fragment	9
4656	fraim	1
4657	frame	7
4658	framework	2
4659	franc	36
4660	franchis	1
4661	franci	6
4662	franciscan	2
4663	francisco	37
4664	francoi	1
4665	franjo	3
4666	frank	28
4667	frankfort	4
4668	frankfurt	9
4669	frankli	8
4670	frantic	20
4671	fraser	1
4672	frasur	1
4673	fraud	68
4674	fraudul	5
4675	fraught	3
4676	fray	4
4677	frazier	2
4678	fred	2
4679	freder	1
4680	fredericqu	1
4681	frederik	1
4682	free	119
4683	freed	22
4684	freedom	40
4685	freeh	25
4686	freeli	14
4687	freelli	1
4688	freepelti	2
4689	freer	2
4690	freewheel	1
4691	freez	2
4692	freight	2
4693	fremd	5
4694	fremont	2
4695	french	70
4696	frenchman	8
4697	frenchmen	1
4698	frenchwoman	2
4699	frenzi	3
4700	frequent	28
4701	fresh	18
4702	fresher	1
4703	freshman	5
4704	freshmen	1
4705	fresno	1
4706	fri	1
4707	friction	1
4708	friday	216
4709	friend	80
4710	friendli	19
4711	friendship	6
4712	frigat	10
4713	frighten	21
4714	frigid	1
4715	frist	2
4716	frond	1
4717	front	83
4718	frontier	1
4719	frontlin	1
4720	frown	1
4721	froze	7
4722	frozen	4
4723	fruit	7
4724	fruition	1
4725	fruitless	1
4726	frustrat	40
4727	fsb	4
4728	ft	1
4729	fudg	1
4730	fuel	40
4731	fuerth	1
4732	fugazi	5
4733	fugimori	1
4734	fugit	73
4735	fujimori	62
4736	fulfil	5
4737	full	83
4738	fullest	4
4739	fulli	37
4740	fume	1
4741	fun	2
4742	function	14
4743	functionari	2
4744	fund	72
4745	fundament	13
4746	fundamentalist	9
4747	fundrais	1
4748	funer	19
4749	funnel	3
4750	funni	2
4751	furi	5
4752	furiou	12
4753	furious	6
4754	furnish	2
4755	furnitur	6
4756	furor	2
4757	furrow	2
4758	furthermor	3
4759	furthest	1
4760	furtiv	2
4761	fuselag	1
4762	fuss	1
4763	futa	1
4764	futil	4
4765	futur	88
4766	futurist	1
4767	fuzzi	1
4768	g	14
4769	ga	52
4770	gabbi	1
4771	gabe	1
4772	gabon	2
4773	gabriel	1
4774	gadget	1
4775	gadhafi	1
4776	gaell	1
4777	gaff	1
4778	gafney	1
4779	gag	1
4780	gagliardi	2
4781	gagnoa	4
4782	gaig	1
4783	gain	73
4784	gajar	1
4785	gal	1
4786	galapago	2
4787	gale	6
4788	galiardi	1
4789	gallup	3
4790	gallust	3
4791	galo	8
4792	galvan	2
4793	galvin	1
4794	gama	1
4795	gamaa	2
4796	gamarra	1
4797	gambler	2
4798	game	57
4799	gan	3
4800	gandhi	7
4801	gandhinagar	1
4802	gang	17
4803	gangster	2
4804	gantlet	1
4805	gap	12
4806	gape	16
4807	garag	6
4808	garbag	17
4809	garbl	4
4810	garcia	23
4811	garden	13
4812	gari	8
4813	garin	1
4814	garland	1
4815	garment	1
4816	garner	5
4817	garri	2
4818	garro	1
4819	garwood	3
4820	gase	1
4821	gash	4
4822	gasolin	2
4823	gasp	1
4824	gaston	1
4825	gate	17
4826	gatehous	2
4827	gateway	2
4828	gather	90
4829	gatl	1
4830	gatorad	1
4831	gaudi	1
4832	gaug	4
4833	gauna	2
4834	gaur	1
4835	gautam	1
4836	gave	105
4837	gavel	1
4838	gavlak	1
4839	gawker	1
4840	gay	13
4841	gaza	16
4842	gaze	4
4843	gazett	1
4844	gazillion	1
4845	gbagbo	38
4846	gbessi	1
4847	gbgm	1
4848	gear	10
4849	gedda	1
4850	gedrif	1
4851	gee	1
4852	geeman	1
4853	gehman	10
4854	gejdenson	4
4855	gelu	1
4856	gen	77
4857	gendarm	2
4858	gene	2
4859	gener	230
4860	generos	2
4861	genex	1
4862	genocid	4
4863	genom	1
4864	genrikh	1
4865	gentl	1
4866	gentleman	1
4867	gentlemen	1
4868	gentli	6
4869	genuin	5
4870	geo	5
4871	geoff	1
4872	geofferi	1
4873	geoffrey	3
4874	geographi	1
4875	geolog	11
4876	geologist	2
4877	geopolit	1
4878	georg	117
4879	georgetown	1
4880	georgi	1
4881	georgia	9
4882	georgian	2
4883	gephardt	2
4884	gerald	1
4885	gerd	1
4886	gerhard	5
4887	gerin	1
4888	german	23
4889	germani	63
4890	germicid	1
4891	gerri	1
4892	gerstein	1
4893	gestapo	1
4894	gestur	21
4895	get	284
4896	getaway	7
4897	getter	1
4898	ghashmi	1
4899	ghee	1
4900	ghost	4
4901	gi	1
4902	giant	11
4903	gift	18
4904	gigant	1
4905	giggl	2
4906	gil	1
4907	gila	1
4908	gilbert	1
4909	gillespi	2
4910	gilman	1
4911	gilmor	2
4912	gimbel	1
4913	gina	1
4914	ginger	2
4915	gingerli	3
4916	girder	1
4917	girl	29
4918	girlfriend	3
4919	giuliani	12
4920	give	168
4921	given	115
4922	gizbert	3
4923	glad	11
4924	gladi	1
4925	gladkovich	1
4926	gladli	1
4927	glanc	5
